Book|Chapter|Verse|Text
John|1|33|κἀγὼ οὐκ ᾔδειν αὐτόν, ἀλλ᾽ ὁ πέμψας με βαπτίζειν ἐν ὕδατι ἐκεῖνός μοι εἶπεν, ἐφ᾽ ὃν ἂν ἴδῃς τὸ πνεῦμα καταβαῖνον καὶ μένον ἐπ᾽ αὐτόν, οὖτός ἐστιν ὁ βαπτίζων ἐν πνεύματι ἁγίῳ.
John|1|34|κἀγὼ ἑώρακα, καὶ μεμαρτύρηκα ὅτι οὖτός ἐστιν ὁ υἱὸς τοῦ θεοῦ.
John|1|35|τῇ ἐπαύριον πάλιν εἱστήκει ὁ ἰωάννης καὶ ἐκ τῶν μαθητῶν αὐτοῦ δύο,
John|1|36|καὶ ἐμβλέψας τῶ ἰησοῦ περιπατοῦντι λέγει, ἴδε ὁ ἀμνὸς τοῦ θεοῦ.
John|1|37|καὶ ἤκουσαν οἱ δύο μαθηταὶ αὐτοῦ λαλοῦντος καὶ ἠκολούθησαν τῶ ἰησοῦ.
John|1|38|στραφεὶς δὲ ὁ ἰησοῦς καὶ θεασάμενος αὐτοὺς ἀκολουθοῦντας λέγει αὐτοῖς, τί ζητεῖτε; οἱ δὲ εἶπαν αὐτῶ, ῥαββί ὃ λέγεται μεθερμηνευόμενον διδάσκαλε, ποῦ μένεις;
John|1|39|λέγει αὐτοῖς, ἔρχεσθε καὶ ὄψεσθε. ἦλθαν οὗν καὶ εἶδαν ποῦ μένει, καὶ παρ᾽ αὐτῶ ἔμειναν τὴν ἡμέραν ἐκείνην· ὥρα ἦν ὡς δεκάτη.
John|1|40|ἦν ἀνδρέας ὁ ἀδελφὸς σίμωνος πέτρου εἷς ἐκ τῶν δύο τῶν ἀκουσάντων παρὰ ἰωάννου καὶ ἀκολουθησάντων αὐτῶ·
John|1|41|εὑρίσκει οὖτος πρῶτον τὸν ἀδελφὸν τὸν ἴδιον σίμωνα καὶ λέγει αὐτῶ, εὑρήκαμεν τὸν μεσσίαν ὅ ἐστιν μεθερμηνευόμενον χριστός·
John|1|42|ἤγαγεν αὐτὸν πρὸς τὸν ἰησοῦν. ἐμβλέψας αὐτῶ ὁ ἰησοῦς εἶπεν, σὺ εἶ σίμων ὁ υἱὸς ἰωάννου· σὺ κληθήσῃ κηφᾶς ὃ ἑρμηνεύεται πέτρος.
John|1|43|τῇ ἐπαύριον ἠθέλησεν ἐξελθεῖν εἰς τὴν γαλιλαίαν, καὶ εὑρίσκει φίλιππον. καὶ λέγει αὐτῶ ὁ ἰησοῦς, ἀκολούθει μοι.
John|1|44|ἦν δὲ ὁ φίλιππος ἀπὸ βηθσαϊδά, ἐκ τῆς πόλεως ἀνδρέου καὶ πέτρου.
John|1|45|εὑρίσκει φίλιππος τὸν ναθαναὴλ καὶ λέγει αὐτῶ, ὃν ἔγραψεν μωϊσῆς ἐν τῶ νόμῳ καὶ οἱ προφῆται εὑρήκαμεν, ἰησοῦν υἱὸν τοῦ ἰωσὴφ τὸν ἀπὸ ναζαρέτ.
John|1|46|καὶ εἶπεν αὐτῶ ναθαναήλ, ἐκ ναζαρὲτ δύναταί τι ἀγαθὸν εἶναι; λέγει αὐτῶ [ὁ] φίλιππος, ἔρχου καὶ ἴδε.
John|1|47|εἶδεν ὁ ἰησοῦς τὸν ναθαναὴλ ἐρχόμενον πρὸς αὐτὸν καὶ λέγει περὶ αὐτοῦ, ἴδε ἀληθῶς ἰσραηλίτης ἐν ᾧ δόλος οὐκ ἔστιν.
John|1|48|λέγει αὐτῶ ναθαναήλ, πόθεν με γινώσκεις; ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτῶ, πρὸ τοῦ σε φίλιππον φωνῆσαι ὄντα ὑπὸ τὴν συκῆν εἶδόν σε.
John|1|49|ἀπεκρίθη αὐτῶ ναθαναήλ, ῥαββί, σὺ εἶ ὁ υἱὸς τοῦ θεοῦ, σὺ βασιλεὺς εἶ τοῦ ἰσραήλ.
John|1|50|ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτῶ, ὅτι εἶπόν σοι ὅτι εἶδόν σε ὑποκάτω τῆς συκῆς πιστεύεις; μείζω τούτων ὄψῃ.
John|1|51|καὶ λέγει αὐτῶ, ἀμὴν ἀμὴν λέγω ὑμῖν, ὄψεσθε τὸν οὐρανὸν ἀνεῳγότα καὶ τοὺς ἀγγέλους τοῦ θεοῦ ἀναβαίνοντας καὶ καταβαίνοντας ἐπὶ τὸν υἱὸν τοῦ ἀνθρώπου.
John|2|1|καὶ τῇ ἡμέρᾳ τῇ τρίτῃ γάμος ἐγένετο ἐν κανὰ τῆς γαλιλαίας, καὶ ἦν ἡ μήτηρ τοῦ ἰησοῦ ἐκεῖ·
John|2|2|ἐκλήθη δὲ καὶ ὁ ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὸν γάμον.
John|2|3|καὶ ὑστερήσαντος οἴνου λέγει ἡ μήτηρ τοῦ ἰησοῦ πρὸς αὐτόν, οἶνον οὐκ ἔχουσιν.
John|2|4|[καὶ] λέγει αὐτῇ ὁ ἰησοῦς, τί ἐμοὶ καὶ σοί, γύναι; οὔπω ἥκει ἡ ὥρα μου.
John|2|5|λέγει ἡ μήτηρ αὐτοῦ τοῖς διακόνοις, ὅ τι ἂν λέγῃ ὑμῖν ποιήσατε.
John|2|6|ἦσαν δὲ ἐκεῖ λίθιναι ὑδρίαι ἓξ κατὰ τὸν καθαρισμὸν τῶν ἰουδαίων κείμεναι, χωροῦσαι ἀνὰ μετρητὰς δύο ἢ τρεῖς.
John|2|7|λέγει αὐτοῖς ὁ ἰησοῦς, γεμίσατε τὰς ὑδρίας ὕδατος. καὶ ἐγέμισαν αὐτὰς ἕως ἄνω.
John|2|8|καὶ λέγει αὐτοῖς, ἀντλήσατε νῦν καὶ φέρετε τῶ ἀρχιτρικλίνῳ· οἱ δὲ ἤνεγκαν.
John|2|9|ὡς δὲ ἐγεύσατο ὁ ἀρχιτρίκλινος τὸ ὕδωρ οἶνον γεγενημένον, καὶ οὐκ ᾔδει πόθεν ἐστίν, οἱ δὲ διάκονοι ᾔδεισαν οἱ ἠντληκότες τὸ ὕδωρ, φωνεῖ τὸν νυμφίον ὁ ἀρχιτρίκλινος
John|2|10|καὶ λέγει αὐτῶ, πᾶς ἄνθρωπος πρῶτον τὸν καλὸν οἶνον τίθησιν, καὶ ὅταν μεθυσθῶσιν τὸν ἐλάσσω· σὺ τετήρηκας τὸν καλὸν οἶνον ἕως ἄρτι.
John|2|11|ταύτην ἐποίησεν ἀρχὴν τῶν σημείων ὁ ἰησοῦς ἐν κανὰ τῆς γαλιλαίας καὶ ἐφανέρωσεν τὴν δόξαν αὐτοῦ, καὶ ἐπίστευσαν εἰς αὐτὸν οἱ μαθηταὶ αὐτοῦ.
John|2|12|μετὰ τοῦτο κατέβη εἰς καφαρναοὺμ αὐτὸς καὶ ἡ μήτηρ αὐτοῦ καὶ οἱ ἀδελφοὶ [αὐτοῦ] καὶ οἱ μαθηταὶ αὐτοῦ, καὶ ἐκεῖ ἔμειναν οὐ πολλὰς ἡμέρας.
John|2|13|καὶ ἐγγὺς ἦν τὸ πάσχα τῶν ἰουδαίων, καὶ ἀνέβη εἰς ἱεροσόλυμα ὁ ἰησοῦς.
John|2|14|καὶ εὖρεν ἐν τῶ ἱερῶ τοὺς πωλοῦντας βόας καὶ πρόβατα καὶ περιστερὰς καὶ τοὺς κερματιστὰς καθημένους,
John|2|15|καὶ ποιήσας φραγέλλιον ἐκ σχοινίων πάντας ἐξέβαλεν ἐκ τοῦ ἱεροῦ, τά τε πρόβατα καὶ τοὺς βόας, καὶ τῶν κολλυβιστῶν ἐξέχεεν τὸ κέρμα καὶ τὰς τραπέζας ἀνέτρεψεν,
John|2|16|καὶ τοῖς τὰς περιστερὰς πωλοῦσιν εἶπεν, ἄρατε ταῦτα ἐντεῦθεν, μὴ ποιεῖτε τὸν οἶκον τοῦ πατρός μου οἶκον ἐμπορίου.
John|2|17|ἐμνήσθησαν οἱ μαθηταὶ αὐτοῦ ὅτι γεγραμμένον ἐστίν, ὁ ζῆλος τοῦ οἴκου σου καταφάγεταί με.
John|2|18|ἀπεκρίθησαν οὗν οἱ ἰουδαῖοι καὶ εἶπαν αὐτῶ, τί σημεῖον δεικνύεις ἡμῖν, ὅτι ταῦτα ποιεῖς;
John|2|19|ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτοῖς, λύσατε τὸν ναὸν τοῦτον καὶ ἐν τρισὶν ἡμέραις ἐγερῶ αὐτόν.
John|2|20|εἶπαν οὗν οἱ ἰουδαῖοι, τεσσεράκοντα καὶ ἓξ ἔτεσιν οἰκοδομήθη ὁ ναὸς οὖτος, καὶ σὺ ἐν τρισὶν ἡμέραις ἐγερεῖς αὐτόν;
John|2|21|ἐκεῖνος δὲ ἔλεγεν περὶ τοῦ ναοῦ τοῦ σώματος αὐτοῦ.
John|2|22|ὅτε οὗν ἠγέρθη ἐκ νεκρῶν, ἐμνήσθησαν οἱ μαθηταὶ αὐτοῦ ὅτι τοῦτο ἔλεγεν, καὶ ἐπίστευσαν τῇ γραφῇ καὶ τῶ λόγῳ ὃν εἶπεν ὁ ἰησοῦς.
John|2|23|ὡς δὲ ἦν ἐν τοῖς ἱεροσολύμοις ἐν τῶ πάσχα ἐν τῇ ἑορτῇ, πολλοὶ ἐπίστευσαν εἰς τὸ ὄνομα αὐτοῦ, θεωροῦντες αὐτοῦ τὰ σημεῖα ἃ ἐποίει·
John|2|24|αὐτὸς δὲ ἰησοῦς οὐκ ἐπίστευεν αὐτὸν αὐτοῖς διὰ τὸ αὐτὸν γινώσκειν πάντας,
John|2|25|καὶ ὅτι οὐ χρείαν εἶχεν ἵνα τις μαρτυρήσῃ περὶ τοῦ ἀνθρώπου· αὐτὸς γὰρ ἐγίνωσκεν τί ἦν ἐν τῶ ἀνθρώπῳ.
John|3|1|ἦν δὲ ἄνθρωπος ἐκ τῶν φαρισαίων, νικόδημος ὄνομα αὐτῶ, ἄρχων τῶν ἰουδαίων·
John|3|2|οὖτος ἦλθεν πρὸς αὐτὸν νυκτὸς καὶ εἶπεν αὐτῶ, ῥαββί, οἴδαμεν ὅτι ἀπὸ θεοῦ ἐλήλυθας διδάσκαλος· οὐδεὶς γὰρ δύναται ταῦτα τὰ σημεῖα ποιεῖν ἃ σὺ ποιεῖς, ἐὰν μὴ ᾖ ὁ θεὸς μετ᾽ αὐτοῦ.
John|3|3|ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτῶ, ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἄνωθεν, οὐ δύναται ἰδεῖν τὴν βασιλείαν τοῦ θεοῦ.
John|3|4|λέγει πρὸς αὐτὸν [ὁ] νικόδημος, πῶς δύναται ἄνθρωπος γεννηθῆναι γέρων ὤν; μὴ δύναται εἰς τὴν κοιλίαν τῆς μητρὸς αὐτοῦ δεύτερον εἰσελθεῖν καὶ γεννηθῆναι;
John|3|5|ἀπεκρίθη ἰησοῦς, ἀμὴν ἀμὴν λέγω σοι, ἐὰν μή τις γεννηθῇ ἐξ ὕδατος καὶ πνεύματος, οὐ δύναται εἰσελθεῖν εἰς τὴν βασιλείαν τοῦ θεοῦ.
John|3|6|τὸ γεγεννημένον ἐκ τῆς σαρκὸς σάρξ ἐστιν, καὶ τὸ γεγεννημένον ἐκ τοῦ πνεύματος πνεῦμά ἐστιν.
John|3|7|μὴ θαυμάσῃς ὅτι εἶπόν σοι, δεῖ ὑμᾶς γεννηθῆναι ἄνωθεν.
John|3|8|τὸ πνεῦμα ὅπου θέλει πνεῖ, καὶ τὴν φωνὴν αὐτοῦ ἀκούεις, ἀλλ᾽ οὐκ οἶδας πόθεν ἔρχεται καὶ ποῦ ὑπάγει· οὕτως ἐστὶν πᾶς ὁ γεγεννημένος ἐκ τοῦ πνεύματος.
John|3|9|ἀπεκρίθη νικόδημος καὶ εἶπεν αὐτῶ, πῶς δύναται ταῦτα γενέσθαι;
John|3|10|ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτῶ, σὺ εἶ ὁ διδάσκαλος τοῦ ἰσραὴλ καὶ ταῦτα οὐ γινώσκεις;
John|3|11|ἀμὴν ἀμὴν λέγω σοι ὅτι ὃ οἴδαμεν λαλοῦμεν καὶ ὃ ἑωράκαμεν μαρτυροῦμεν, καὶ τὴν μαρτυρίαν ἡμῶν οὐ λαμβάνετε.
John|3|12|εἰ τὰ ἐπίγεια εἶπον ὑμῖν καὶ οὐ πιστεύετε, πῶς ἐὰν εἴπω ὑμῖν τὰ ἐπουράνια πιστεύσετε;
John|3|13|καὶ οὐδεὶς ἀναβέβηκεν εἰς τὸν οὐρανὸν εἰ μὴ ὁ ἐκ τοῦ οὐρανοῦ καταβάς, ὁ υἱὸς τοῦ ἀνθρώπου.
John|3|14|καὶ καθὼς μωϊσῆς ὕψωσεν τὸν ὄφιν ἐν τῇ ἐρήμῳ, οὕτως ὑψωθῆναι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου,
John|3|15|ἵνα πᾶς ὁ πιστεύων ἐν αὐτῶ ἔχῃ ζωὴν αἰώνιον.
John|3|16|οὕτως γὰρ ἠγάπησεν ὁ θεὸς τὸν κόσμον, ὥστε τὸν υἱὸν τὸν μονογενῆ ἔδωκεν, ἵνα πᾶς ὁ πιστεύων εἰς αὐτὸν μὴ ἀπόληται ἀλλ᾽ ἔχῃ ζωὴν αἰώνιον.
John|3|17|οὐ γὰρ ἀπέστειλεν ὁ θεὸς τὸν υἱὸν εἰς τὸν κόσμον ἵνα κρίνῃ τὸν κόσμον, ἀλλ᾽ ἵνα σωθῇ ὁ κόσμος δι᾽ αὐτοῦ.
John|3|18|ὁ πιστεύων εἰς αὐτὸν οὐ κρίνεται· ὁ δὲ μὴ πιστεύων ἤδη κέκριται, ὅτι μὴ πεπίστευκεν εἰς τὸ ὄνομα τοῦ μονογενοῦς υἱοῦ τοῦ θεοῦ.
John|3|19|αὕτη δέ ἐστιν ἡ κρίσις, ὅτι τὸ φῶς ἐλήλυθεν εἰς τὸν κόσμον καὶ ἠγάπησαν οἱ ἄνθρωποι μᾶλλον τὸ σκότος ἢ τὸ φῶς, ἦν γὰρ αὐτῶν πονηρὰ τὰ ἔργα.
John|3|20|πᾶς γὰρ ὁ φαῦλα πράσσων μισεῖ τὸ φῶς καὶ οὐκ ἔρχεται πρὸς τὸ φῶς, ἵνα μὴ ἐλεγχθῇ τὰ ἔργα αὐτοῦ·
John|3|21|ὁ δὲ ποιῶν τὴν ἀλήθειαν ἔρχεται πρὸς τὸ φῶς, ἵνα φανερωθῇ αὐτοῦ τὰ ἔργα ὅτι ἐν θεῶ ἐστιν εἰργασμένα.
John|3|22|μετὰ ταῦτα ἦλθεν ὁ ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὴν ἰουδαίαν γῆν, καὶ ἐκεῖ διέτριβεν μετ᾽ αὐτῶν καὶ ἐβάπτιζεν.
John|3|23|ἦν δὲ καὶ ὁ ἰωάννης βαπτίζων ἐν αἰνὼν ἐγγὺς τοῦ σαλείμ, ὅτι ὕδατα πολλὰ ἦν ἐκεῖ, καὶ παρεγίνοντο καὶ ἐβαπτίζοντο·
John|3|24|οὔπω γὰρ ἦν βεβλημένος εἰς τὴν φυλακὴν ὁ ἰωάννης.
John|3|25|ἐγένετο οὗν ζήτησις ἐκ τῶν μαθητῶν ἰωάννου μετὰ ἰουδαίου περὶ καθαρισμοῦ.
John|3|26|καὶ ἦλθον πρὸς τὸν ἰωάννην καὶ εἶπαν αὐτῶ, ῥαββί, ὃς ἦν μετὰ σοῦ πέραν τοῦ ἰορδάνου, ᾧ σὺ μεμαρτύρηκας, ἴδε οὖτος βαπτίζει καὶ πάντες ἔρχονται πρὸς αὐτόν.
John|3|27|ἀπεκρίθη ἰωάννης καὶ εἶπεν, οὐ δύναται ἄνθρωπος λαμβάνειν οὐδὲ ἓν ἐὰν μὴ ᾖ δεδομένον αὐτῶ ἐκ τοῦ οὐρανοῦ.
John|3|28|αὐτοὶ ὑμεῖς μοι μαρτυρεῖτε ὅτι εἶπον [ὅτι] οὐκ εἰμὶ ἐγὼ ὁ χριστός, ἀλλ᾽ ὅτι ἀπεσταλμένος εἰμὶ ἔμπροσθεν ἐκείνου.
John|3|29|ὁ ἔχων τὴν νύμφην νυμφίος ἐστίν· ὁ δὲ φίλος τοῦ νυμφίου, ὁ ἑστηκὼς καὶ ἀκούων αὐτοῦ, χαρᾷ χαίρει διὰ τὴν φωνὴν τοῦ νυμφίου. αὕτη οὗν ἡ χαρὰ ἡ ἐμὴ πεπλήρωται.
John|3|30|ἐκεῖνον δεῖ αὐξάνειν, ἐμὲ δὲ ἐλαττοῦσθαι.
John|3|31|ὁ ἄνωθεν ἐρχόμενος ἐπάνω πάντων ἐστίν· ὁ ὢν ἐκ τῆς γῆς ἐκ τῆς γῆς ἐστιν καὶ ἐκ τῆς γῆς λαλεῖ. ὁ ἐκ τοῦ οὐρανοῦ ἐρχόμενος [ἐπάνω πάντων ἐστίν·]
John|3|32|ὃ ἑώρακεν καὶ ἤκουσεν τοῦτο μαρτυρεῖ, καὶ τὴν μαρτυρίαν αὐτοῦ οὐδεὶς λαμβάνει.
John|3|33|ὁ λαβὼν αὐτοῦ τὴν μαρτυρίαν ἐσφράγισεν ὅτι ὁ θεὸς ἀληθής ἐστιν.
John|3|34|ὃν γὰρ ἀπέστειλεν ὁ θεὸς τὰ ῥήματα τοῦ θεοῦ λαλεῖ, οὐ γὰρ ἐκ μέτρου δίδωσιν τὸ πνεῦμα.
John|3|35|ὁ πατὴρ ἀγαπᾷ τὸν υἱόν, καὶ πάντα δέδωκεν ἐν τῇ χειρὶ αὐτοῦ.
John|3|36|ὁ πιστεύων εἰς τὸν υἱὸν ἔχει ζωὴν αἰώνιον· ὁ δὲ ἀπειθῶν τῶ υἱῶ οὐκ ὄψεται ζωήν, ἀλλ᾽ ἡ ὀργὴ τοῦ θεοῦ μένει ἐπ᾽ αὐτόν.
John|4|1|ὡς οὗν ἔγνω ὁ ἰησοῦς ὅτι ἤκουσαν οἱ φαρισαῖοι ὅτι ἰησοῦς πλείονας μαθητὰς ποιεῖ καὶ βαπτίζει ἢ ἰωάννης
John|4|2|_ καίτοιγε ἰησοῦς αὐτὸς οὐκ ἐβάπτιζεν ἀλλ᾽ οἱ μαθηταὶ αὐτοῦ _
John|4|3|ἀφῆκεν τὴν ἰουδαίαν καὶ ἀπῆλθεν πάλιν εἰς τὴν γαλιλαίαν.
John|4|4|ἔδει δὲ αὐτὸν διέρχεσθαι διὰ τῆς σαμαρείας.
John|4|5|ἔρχεται οὗν εἰς πόλιν τῆς σαμαρείας λεγομένην συχὰρ πλησίον τοῦ χωρίου ὃ ἔδωκεν ἰακὼβ [τῶ] ἰωσὴφ τῶ υἱῶ αὐτοῦ·
John|4|6|ἦν δὲ ἐκεῖ πηγὴ τοῦ ἰακώβ. ὁ οὗν ἰησοῦς κεκοπιακὼς ἐκ τῆς ὁδοιπορίας ἐκαθέζετο οὕτως ἐπὶ τῇ πηγῇ· ὥρα ἦν ὡς ἕκτη.
John|4|7|ἔρχεται γυνὴ ἐκ τῆς σαμαρείας ἀντλῆσαι ὕδωρ. λέγει αὐτῇ ὁ ἰησοῦς, δός μοι πεῖν·
John|4|8|οἱ γὰρ μαθηταὶ αὐτοῦ ἀπεληλύθεισαν εἰς τὴν πόλιν, ἵνα τροφὰς ἀγοράσωσιν.
John|4|9|λέγει οὗν αὐτῶ ἡ γυνὴ ἡ σαμαρῖτις, πῶς σὺ ἰουδαῖος ὢν παρ᾽ ἐμοῦ πεῖν αἰτεῖς γυναικὸς σαμαρίτιδος οὔσης; οὐ γὰρ συγχρῶνται ἰουδαῖοι σαμαρίταις.
John|4|10|ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτῇ, εἰ ᾔδεις τὴν δωρεὰν τοῦ θεοῦ καὶ τίς ἐστιν ὁ λέγων σοι, δός μοι πεῖν, σὺ ἂν ᾔτησας αὐτὸν καὶ ἔδωκεν ἄν σοι ὕδωρ ζῶν.
John|4|11|λέγει αὐτῶ [ἡ γυνή], κύριε, οὔτε ἄντλημα ἔχεις καὶ τὸ φρέαρ ἐστὶν βαθύ· πόθεν οὗν ἔχεις τὸ ὕδωρ τὸ ζῶν;
John|4|12|μὴ σὺ μείζων εἶ τοῦ πατρὸς ἡμῶν ἰακώβ, ὃς ἔδωκεν ἡμῖν τὸ φρέαρ καὶ αὐτὸς ἐξ αὐτοῦ ἔπιεν καὶ οἱ υἱοὶ αὐτοῦ καὶ τὰ θρέμματα αὐτοῦ;
John|4|13|ἀπεκρίθη ἰησοῦς καὶ εἶπεν αὐτῇ, πᾶς ὁ πίνων ἐκ τοῦ ὕδατος τούτου διψήσει πάλιν·
John|4|14|ὃς δ᾽ ἂν πίῃ ἐκ τοῦ ὕδατος οὖ ἐγὼ δώσω αὐτῶ, οὐ μὴ διψήσει εἰς τὸν αἰῶνα, ἀλλὰ τὸ ὕδωρ ὃ δώσω αὐτῶ γενήσεται ἐν αὐτῶ πηγὴ ὕδατος ἁλλομένου εἰς ζωὴν αἰώνιον.
John|4|15|λέγει πρὸς αὐτὸν ἡ γυνή, κύριε, δός μοι τοῦτο τὸ ὕδωρ, ἵνα μὴ διψῶ μηδὲ διέρχωμαι ἐνθάδε ἀντλεῖν.
John|4|16|λέγει αὐτῇ, ὕπαγε φώνησον τὸν ἄνδρα σου καὶ ἐλθὲ ἐνθάδε.
